Gene	Glucose_fg_cell	Chemostat_mu_0_5
ppiA	8.73E-02	3.87E-02
ybiC	1.05E-01	5.84E-02
fadD	1.55E-02	3.43E-02
proQ	9.95E-02	8.55E-02
bamD	6.33E-02	3.57E-02
yghA	7.81E-03	5.65E-03
sohB	2.70E-02	3.28E-02
trpC	6.58E-02	4.69E-02
argC	1.02E-01	6.82E-02
pepT	1.95E-02	2.14E-02
rdgC	3.16E-02	1.94E-02
gss	2.15E-02	9.10E-03
uxaC	1.28E-02	1.92E-02
ubiD	2.25E-02	4.52E-02
manZ	1.77E-02	1.32E-01
kdgR	2.72E-02	2.75E-02
dhaM	2.91E-02	1.34E-02
dppD	2.18E-02	3.09E-02
rsgA	2.43E-02	1.61E-02
cpdB	1.58E-02	2.90E-02
selA	1.52E-02	1.67E-02
glnD	2.14E-02	2.85E-02
ddlA	9.16E-03	5.40E-03
hflX	1.92E-02	2.10E-02
cysB	3.14E-02	2.70E-02
phoU	1.54E-02	1.87E-02
yfeX	2.68E-02	2.92E-02
nuoE	2.31E-02	3.32E-02
mdtE	8.84E-04	5.76E-04
hmp	1.08E-02	1.05E-02
yniC	2.09E-02	1.38E-02
relA	8.95E-03	1.39E-02
dppF	1.92E-02	3.54E-02
fdhE	2.15E-02	1.54E-02
lpp	6.75E-01	7.92E-01
uspA	9.99E-01	1.22E+00
pal	5.69E-01	5.87E-01
rpsJ	7.74E-01	3.10E-01
rplX	9.34E-01	5.64E-01
rplD	7.72E-01	5.63E-01
yajQ	3.06E-01	2.44E-01
rplQ	4.38E-01	2.62E-01
ppa	2.73E-01	1.93E-01
rpsM	5.09E-01	4.44E-01
ycaC	7.22E-02	7.22E-02
potF	2.05E-01	1.93E-01
rplN	1.59E-01	1.99E-01
artJ	4.16E-01	1.96E-01
hchA	3.25E-02	2.74E-02
dsbA	1.59E-01	1.03E-01
cyoB	1.18E-01	1.81E-01
folD	9.58E-02	7.19E-02
rpiA	1.05E-01	1.05E-01
ybaB	1.37E-01	9.87E-02
purM	1.56E-01	1.28E-01
ybhC	1.05E-01	7.01E-02
sseA	4.20E-02	5.49E-02
yidC	8.59E-02	1.10E-01
sufC	2.87E-02	1.64E-02
pyrF	6.58E-02	3.59E-02
yggX	6.25E-02	4.09E-02
cydA	3.33E-02	7.21E-02
sufB	2.42E-02	2.05E-02
ybeL	1.68E-02	1.20E-02
fmt	4.05E-02	3.25E-02
nlpA	9.11E-02	6.85E-02
lptB	7.27E-02	5.08E-02
murC	3.87E-02	2.51E-02
aroC	5.18E-02	4.69E-02
narL	4.92E-02	3.71E-02
btuE	3.93E-02	3.07E-02
suhB	6.96E-02	4.62E-02
yejK	5.22E-02	3.99E-02
pspA	3.95E-02	3.13E-02
ghrA	5.98E-02	5.58E-02
gstA	2.60E-02	2.92E-02
lsrF	4.64E-03	5.48E-03
thrB	3.31E-02	1.82E-02
murF	4.18E-02	3.28E-02
yhhX	2.73E-02	2.08E-02
ygdH	1.68E-02	2.09E-02
xthA	3.38E-02	2.13E-02
fadA	2.88E-02	3.92E-02
pstS	1.87E-02	1.87E-02
dsbC	6.04E-02	1.72E-02
rsmH	2.16E-02	1.34E-02
hdhA	8.75E-03	9.65E-03
aroK	6.84E-02	3.45E-02
gstB	2.46E-02	3.85E-02
nagC	9.15E-03	1.19E-02
ltaE	1.91E-02	2.32E-02
hemC	1.26E-02	9.29E-03
rsmI	1.99E-02	1.16E-02
hemY	1.08E-02	1.67E-02
mrcB	1.34E-02	1.71E-02
dadA	4.00E-03	1.52E-02
lexA	2.08E-02	1.99E-02
ubiG	5.88E-02	4.55E-02
ilvN	1.98E-02	4.69E-02
dnaB	1.80E-02	1.13E-02
fadJ	3.09E-03	3.42E-02
mdoB	1.10E-02	1.38E-02
yhbJ	1.25E-02	1.15E-02
leuD	1.91E-01	1.50E-01
uup	1.86E-02	1.71E-02
ydcJ	3.60E-03	5.71E-03
fadH	5.15E-03	1.67E-02
yaaA	3.94E-02	2.26E-02
hrpA	7.83E-03	9.10E-03
oppD	8.88E-03	1.10E-02
fadI	1.74E-03	9.54E-03
entC	1.37E-02	6.72E-03
mqo	1.46E-02	1.02E-03
dsdA	5.30E-03	2.28E-03
rimO	2.68E-02	1.31E-02
csiD	3.46E-03	2.04E-02
ydeN	1.42E-03	9.52E-03
nadA	2.33E-02	1.99E-02
fliC	2.60E-04	1.26E-02
osmY	3.67E-01	1.78E-01
ompX	6.92E-01	1.64E-01
rplJ	1.01E+00	6.64E-01
rplM	8.36E-01	5.60E-01
slyB	3.65E-01	2.38E-01
pyrI	5.41E-01	6.04E-01
osmE	9.18E-02	1.64E-01
atpC	2.53E-01	2.12E-01
fur	1.81E-01	1.45E-01
can	1.52E-01	8.95E-02
mscS	1.46E-01	1.73E-01
yccU	4.50E-02	3.23E-02
yieF	5.70E-02	6.57E-02
ybiS	1.92E-01	1.40E-01
rplS	1.20E-01	1.79E-01
yaeH	4.27E-02	5.51E-02
yeaD	1.17E-01	1.16E-01
cdd	1.34E-02	1.32E-02
